sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG03258	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.4035	16.6130	3.3586	-0.8315	2.3231
HG02140	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.8614	41.0368	2.1539	-6.9770	9.5939
HG03689	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.4109	7.8886	21.8838	6.6271	0.1648
HG01886	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-54.9162	13.9633	2.6798	0.2521	3.0326
HG02724	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.1185	7.1881	19.8478	6.6707	2.2200
HG01976	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	5.3606	12.7155	-16.9118	27.3662	2.5184
HG01031	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.8452	44.1595	1.5276	-7.6006	6.4331
HG01857	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.2093	43.0025	1.6444	-6.4817	7.7832
HG01944	AFR	AMR	0.0366	0.5284	0.4314	0.0036	0.0000	5.6406	28.0735	-9.7063	17.6465	2.5740
HG03731	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.6048	6.4767	22.9817	6.2337	2.8162
HG02337	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	-53.6725	14.1949	1.2914	-0.6387	3.7539
HG01707	EUR	EUR	0.0000	0.0000	0.0016	0.0000	0.9984	-1.8868	-12.0454	-2.1956	-8.5950	4.0088
HG01149	AMR	AMR	0.0000	0.0012	0.9988	0.0000	0.0000	-2.0445	5.2174	-10.4670	12.2026	0.7444
HG02332	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-55.8909	14.7214	2.8059	-0.9510	1.3930
HG01280	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-0.2626	-1.1635	-8.7800	4.0751	6.0782
HG03172	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-63.1825	16.0692	1.8379	-0.4142	4.7573
HG01247	AMR	AMR	0.0000	0.0027	0.9973	0.0000	0.0000	-10.1475	-1.3560	-6.3393	1.4357	1.9450
NA20821	EUR	EUR	0.0000	0.0000	0.0012	0.0000	0.9988	-1.4546	-12.6736	-1.6229	-7.6053	4.9093
HG04054	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.7288	9.1458	24.3839	7.1698	1.3440
HG03645	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-3.1258	7.8505	22.2217	4.6219	1.5453
NA19147	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.2269	16.8888	2.7362	0.5469	3.3228
HG03074	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.9529	16.9763	3.0961	0.1751	2.7655
HG01597	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.4746	43.2519	1.8984	-7.8222	7.4362
NA19350	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.2877	16.1318	2.7216	-1.8257	0.7386
HG03559	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7109	15.9009	1.9718	-0.7439	1.7644
